TICKER,Security,GICS-Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/57,66740,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/57,1800,1888
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",12/31/12,1551152,1888
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",3/20/17,2488,1969
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1090872,1999
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969,1940
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",9/18/23,1559720,2008
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1086222,1998
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,915913,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/17,1035443,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/17,1097149,1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241,1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",7/13/95,899051,1931
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/57,764180,1985
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",11/18/05,1018724,1994
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",6/7/19,1748790,1860
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,6201,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/57,4904,1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",6/30/76,4962,1850
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",3/31/80,5272,1919
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",11/19/07,1053507,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/16,1410636,1886
